state,x,y,car_heading,car_velocity,lateral_acc,longitudinal_acc,packet_rate,rtt,speed,car_distance
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.111226006681554e-05,1.570595169985971e-05,0.0,264.0,0.013692352920770645,1806.4073486328125
0,0,0,0,0,-3.006512018807458e-05,0.00044296806702331574,80.0,237.0,0.013705052435398102,1808.0958251953125
0,1461.3474176579055,-1066.6283645679953,-39.14909646162576,0.16500870883464813,-3.8860759097722435e-05,0.002270873887903783,100.0,269.0,0.014362011104822159,3.825099229812622
0,1461.6460955484226,-1066.8598281779493,-39.145739261148464,0.5730855464935303,7.005492608784292e-05,0.0030791986708257474,100.0,290.0,0.015043926425278187,3.8436381816864014
0,1462.2503752081693,-1067.3292942649791,-39.132403566411256,0.9262695908546448,-0.0002224499308723508,0.002336519421317513,100.0,341.0,0.01439201645553112,4.071022033691406
0,1463.0087917299,-1067.9205226939962,-39.158073585880885,0.8918675184249878,0.00031273163124462424,-3.5526468227690634e-05,100.0,335.0,0.015002509579062462,3.808467388153076
0,1463.7134342669208,-1068.4683147827718,-39.027495810820795,0.7755250334739685,0.00026071547579496334,-0.005966203677103963,100.0,363.0,0.015044333413243294,3.3901853561401367
0,1463.9619952783128,-1068.6615189636484,-38.979110594026196,-0.042515285313129425,-0.00010517867710526354,0.0015745825341207228,100.0,187.0,0.015016748569905758,3.2429277896881104
0,1463.9639970226026,-1068.6561376077266,-38.98248550783258,0.002187620382755995,0.000252181869306651,-0.00012575760570894464,100.0,200.0,0.01499281544238329,3.2315423488616943
0,1463.9665144449284,-1068.6558404742157,-38.98439523908182,-0.0017614095704630017,-2.232739109420186e-05,0.0001843866931658252,100.0,200.0,0.014961214736104012,3.2125325202941895
0,1463.968378408602,-1068.6537146029552,-38.98923209775221,-0.002014449331909418,0.00018886251509937527,0.00014727439739186854,100.0,230.0,0.015035557560622692,3.2683701515197754
0,1463.9658842009367,-1068.658605163452,-38.992235402197466,-0.0004790735838469118,0.0001257991066092246,4.880691559019961e-05,100.0,220.0,0.015050940215587616,3.2717766761779785
0,1463.9664363177394,-1068.660762020782,-38.996031589785204,-0.0012650915887206793,3.2540018176232536e-05,5.943478925264007e-05,100.0,256.0,0.015044458210468292,3.2772884368896484
